,Artist,Song,Year
4186,Madonna,Material Girl,1985
4187,Philip Bailey & Phil Collins,Easy Lover,1985
4188,Opus,Live Is Life,1985
4189,John Parr,St Elmo's Fire (Man in Motion),1985
4190,Wham!,Everything She Wants,1985
4191,Bryan Adams,Heaven,1985
4192,Harold Faltermeyer,Axel F,1985
4193,Fergal Sharkey,A Good Heart,1985
4194,The Eurythmics,There Must Be an Angel (Playing With My Heart),1985
4195,Phil Collins & Marilyn Martin,Separate Lives,1985
4196,Bruce Springsteen,I'm On Fire,1985
4197,Glenn Frey,The Heat is On,1985
4198,UB40 & Chrissie Hynde,I Got You Babe,1985
4199,REO Speedwagon,Can't Fight This Feeling,1985
4200,Modern Talking,You're My Heart You're My Soul,1985
4201,Phil Collins,Sussudio,1985
4202,Ashford & Simpson,Solid,1985
4203,Berlin,Take My Breath Away,1986
4204,Falco,Rock Me Amadeus,1986
4205,Dionne Warwick & Friends,That's What Friends Are For,1986
4206,Madonna,Papa Don't Preach,1986
4207,The Bangles,Walk Like an Egyptian,1986
4208,The Pet Shop Boys,West End Girls,1986
4209,Peter Gabriel,Sledgehammer,1986
4210,Chris de Burgh,The Lady in Red,1986
4211,Europe,The Final Countdown,1986
4212,Prince,Kiss,1986
4213,Madonna,Live to Tell,1986
4214,Billy Ocean,"When the Going Gets Tough, the Tough Get Going",1986
4215,Bananarama,Venus,1986
4216,Whitney Houston,Greatest Love of All,1986
4217,Steve Winwood,Higher Love,1986
4218,The Bangles,Manic Monday,1986
4219,Robert Palmer,Addicted to Love,1986
4220,Patti LaBelle & Michael McDonald,On My Own,1986
4221,Madonna,True Blue,1986
4222,Peter Cetera,Glory of Love,1986
4223,Cutting Crew,(I Just) Died in Your Arms Tonight,1986
4224,George Michael,A Different Corner,1986
4225,Cyndi Lauper,True Colors,1986
4226,Run DMC & Aerosmith,Walk This Way,1986
4227,Level 42,Lessons in Love,1986
4228,Samantha Fox,Touch Me (I Want Your Body),1986
4229,Survivor,Burning Heart,1986
4230,Bruce Hornsby & The Range,The Way it Is,1986
4231,Lionel Richie,Dancing On the Ceiling,1986
4232,The Human League,Human,1986
4233,Duran Duran,Notorious,1986
4234,Mr Mister,Kyrie,1986
4235,Jefferson Starship,Sara,1986
4236,A-Ha,The Sun Always Shines On TV,1986
4237,Wham!,The Edge of Heaven,1986
4238,Huey Lewis & The News,Stuck With You,1986
4239,Whitney Houston,How Will I Know,1986
4240,Dire Straits,Walk of Life,1986
4241,Nu Shooz,I Can't Wait,1986
4242,Simply Red,Holding Back the Years,1986
4243,Billy Ocean,There'll Be Sad Songs (To Make You Cry),1986
4244,Genesis,Invisible Touch,1986
4245,Oran 'Juice' Jones,The Rain,1986
4246,Janet Jackson,When I Think of You,1986
4247,Tina Turner,Typical Male,1986
4248,Glass Tiger,Don't Forget Me (When I'm Gone),1986
4249,The Pet Shop Boys,Suburbia,1986
4250,MC Miker G & DJ Sven,Holiday Rap,1986
4251,The Communards,Don't Leave Me This Way,1986
4252,Whitney Houston,I Wanna Dance With Somebody (Who Loves Me),1987
4253,Rick Astley,Never Gonna Give You Up,1987
4254,Los Lobos,La Bamba,1987
4255,George Michael,Faith,1987
4256,U2,With Or Without You,1987
4257,Bill Medley & Jennifer Warnes,(I've Had) the Time of My Life,1987
4258,U2,I Still Haven't Found What I'm Looking For,1987
4259,Jefferson Starship,Nothing's Gonna Stop Us Now,1987
4260,Bon Jovi,Livin' On a Prayer,1987
4261,Madonna,Who's That Girl?,1987
4262,Madonna,La Isla Bonita,1987
4263,Michael Jackson & Siedah Garrett,I Just Can't Stop Loving You,1987
4264,George Harrison,Got My Mind Set On You,1987
4265,Michael Jackson,Bad,1987
4266,The Pet Shop Boys,It's a Sin,1987
4267,Bee Gees,You Win Again,1987
4268,Glenn Medeiros,Nothing's Gonna Change My Love For You,1987
4269,Crowded House,Don't Dream It's Over,1987
4270,George Michael,I Want Your Sex,1987
4271,Terence Trent D'Arby,Wishing Well,1987
4272,Dusty Springfield & The Pet Shop Boys,What Have I Done to Deserve This,1987
4273,Aretha Franklin & George Michael,I Knew You Were Waiting (For Me),1987
4274,Heart,Alone,1987
4275,Club Nouveau,Lean On Me,1987
4276,Mel & Kim,Respectable,1987
4277,MARRS,Pump Up the Volume,1987
4278,Robbie Nevil,C'est La Vie,1987
4279,U2,Where the Streets Have No Name,1987
4280,Madonna,Open Your Heart,1987
4281,Kim Wilde,(You Keep Me) Hangin' On,1987
4282,Gregory Abbott,Shake You Down,1987
4283,Suzanne Vega,Luka,1987
4284,Atlantic Starr,Always,1987
4285,John Farnham,You're the Voice,1987
4286,Johnny Hates Jazz,Shattered Dreams,1987
4287,Pseudo Echo,Funkytown,1987
4288,Boy George,Everything I Own,1987
4289,Lisa Lisa & Cult Jam,Head to Toe,1987
4290,Linda Ronstadt & James Ingram,Somewhere Out There,1987
4291,Depeche Mode,Strangelove,1987
4292,Fleetwood Mac,Little Lies,1987
4293,T'Pau,Heart & Soul,1987
4294,T'Pau,China in Your Hand,1987
4295,Bob Seger & The Silver Bullet Band,Shake Down,1987
4296,Whitney Houston,Didn't We Almost Have it All,1987
4297,Whitesnake,Here I Go Again,1987
4298,Desireless,Voyage Voyage,1987
4299,Jody Watley,Looking For a New Love,1987
4300,Billy Idol,Mony Mony (Live),1987
4301,Phil Collins,A Groovy Kind of Love,1988
4302,Bobby McFerrin,Don't Worry Be Happy,1988
4303,U2,Desire,1988
4304,Billy Ocean,Get Outta My Dreams Get Into My Car,1988
4305,Guns n' Roses,Sweet Child O' Mine,1988
4306,Tiffany,I Think We're Alone Now,1988
4307,INXS,Need You Tonight,1988
4308,Belinda Carlisle,Heaven is a Place On Earth,1988
4309,Kylie Minogue,The Loco-Motion,1988
4310,Kylie Minogue,I Should Be So Lucky,1988
4311,Milli Vanilli,"Girl, You Know It's True",1988
4312,The Pet Shop Boys,Always On My Mind,1988
4313,Phil Collins,Two Hearts,1988
4314,The Beach Boys,Kokomo,1988
4315,George Michael,One More Try,1988
4316,Enya,Orinoco Flow,1988
4317,Rick Astley,Together Forever,1988
4318,Whitney Houston,One Moment in Time,1988
4319,Tracy Chapman,Fast Car,1988
4320,Yazz & The Plastic Population,The Only Way is Up,1988
4321,Steve Winwood,Roll With It,1988
4322,Fairground Attraction,Perfect,1988
4323,Michael Jackson,The Way You Make Me Feel,1988
4324,The Pet Shop Boys,Heart,1988
4325,Michael Jackson,Dirty Diana,1988
4326,Taylor Dayne,Tell it to My Heart,1988
4327,George Michael,Father Figure,1988
4328,Tiffany,Could've Been,1988
4329,Midnight Oil,Beds Are Burning,1988
4330,Rick Astley,She Wants to Dance With Me,1988
4331,Cheap Trick,The Flame,1988
4332,The Pet Shop Boys,Domino Dancing,1988
4333,Michael Jackson,Man in the Mirror,1988
4334,The Escape Club,Wild Wild West,1988
4335,Robin Beck,First Time,1988
4336,Salt-N-Pepa,Push It,1988
4337,Terence Trent D'Arby,Sign Your Name,1988
4338,Robert Palmer,Simply Irresistible,1988
4339,Elton John,I Don't Wanna Go On With You Like That,1988
4340,Womack & Womack,Teardrops,1988
4341,Bon Jovi,Bad Medicine,1988
4342,Fat Boys & Chubby Checker,The Twist (Yo Twist),1988
4343,Kim Wilde,You Came,1988
4344,Michael Jackson,Smooth Criminal,1988
4345,Bros,When Will I Be Famous?,1988
4346,Def Leppard,Love Bites,1988
4347,S-Express,Theme From 'SExpress',1988
4348,Duran Duran,I Don't Want Your Love,1988
4349,INXS,New Sensation,1988
4350,Madonna,Like a Prayer,1989
4351,Phil Collins,Another Day in Paradise,1989
4352,Fine Young Cannibals,She Drives Me Crazy,1989
4353,Roxette,The Look,1989
4354,The Bangles,Eternal Flame,1989
4355,Richard Marx,Right Here Waiting,1989
4356,Jive Bunny & The Mastermixers,Swing the Mood,1989
4357,The B52s,Love Shack,1989
4358,Prince,Batdance,1989
4359,Kaoma,Lambada,1989
4360,Mike & The Mechanics,The Living Years,1989
4361,Milli Vanilli,"Girl, I'm Gonna Miss You",1989
4362,Madonna,Express Yourself,1989
4363,Technotronic,Pump Up the Jam,1989
4364,Simply Red,If You Don't Know Me By Now,1989
4365,Paula Abdul,Straight Up,1989
4366,Martika,Toy Soldiers,1989
4367,Soul II Soul,Back to Life (However Do You Want Me),1989
4368,Cher,If I Could Turn Back Time,1989
4369,Billy Joel,We Didn't Start the Fire,1989
4370,Roxette,Listen to Your Heart,1989
4371,Janet Jackson,Miss You Much,1989
4372,Tears For Fears,Sowing the Seeds of Love,1989
4373,Bette Midler,Wind Beneath My Wings,1989
4374,Neneh Cherry,Buffalo Stance,1989
4375,Fine Young Cannibals,Good Thing,1989
4376,Chicago,Look Away,1989
4377,Tone Loc,Wild Thing,1989
4378,New Kids On The Block,You Got it (The Right Stuff),1989
4379,Tina Turner,The Best,1989
4380,Debbie Gibson,Lost in Your Eyes,1989
4381,Linda Ronstadt & Aaron Neville,Don't Know Much,1989
4382,Paula Abdul,Forever Your Girl,1989
4383,Gloria Estefan,I Don't Wanna Lose You,1989
4384,Bobby Brown,On Our Own (Theme from 'Ghostbusters II'),1989
4385,Milli Vanilli,Blame it On the Rain,1989
4386,Madonna,Cherish,1989
4387,Guns n' Roses,Paradise City,1989
4388,New Kids On The Block,Hangin' Tough,1989
4389,Will To Power,"Baby, I Love Your Way",1989
4390,Milli Vanilli,Baby Don't Forget My Number,1989
4391,Marc Almond & Gene Pitney,Something's Gotten Hold of My Heart,1989
4392,U2,Angel of Harlem,1989
4393,Black Box,Ride On Time,1989
4394,Roy Orbison,You Got It,1989
4395,The Rolling Stones,Mixed Emotions,1989
4396,Bon Jovi,I'll Be There For You,1989
4397,Bad English,When I See You Smile,1989
4398,Janet Jackson,Rhythm Nation,1989
4399,Sinead O'Connor,Nothing Compares 2 U,1990
4400,Madonna,Vogue,1990
4401,Londonbeat,I've Been Thinking About You,1990
4402,Vanilla Ice,Ice Ice Baby,1990
4403,MC Hammer,U Can't Touch This,1990
4404,Roxette,It Must Have Been Love,1990
4405,Bon Jovi,Blaze of Glory,1990
4406,Alannah Myles,Black Velvet,1990
4407,Snap,The Power,1990
4408,Lisa Stansfield,All Around the World,1990
4409,Mariah Carey,Vision of Love,1990
4410,Madonna,Justify My Love,1990
4411,Heart,All I Wanna Do is Make Love to You,1990
4412,Depeche Mode,Enjoy the Silence,1990
4413,Paula Abdul & The Wild Pair,Opposites Attract,1990
4414,DNA & Suzanne Vega,Tom's Diner,1990
4415,Wilson Phillips,Hold On,1990
4416,New Kids On The Block,Step By Step,1990
4417,Janet Jackson,Escapade,1990
4418,Technotronic,Get Up (Before the Night is Over),1990
4419,Whitney Houston,I'm Your Baby Tonight,1990
4420,George Michael,Praying For Time,1990
4421,INXS,Suicide Blonde,1990
4422,Deee-Lite,Groove is in the Heart,1990
4423,Maxi Priest,Close to You,1990
4424,Michael Bolton,How am I Supposed to Live Without You?,1990
4425,Phil Collins,I Wish it Would Rain Down,1990
4426,George Michael,Freedom,1990
4427,Wilson Phillips,Release Me,1990
4428,Elton John,Sacrifice,1990
4429,Bette Midler,From a Distance,1990
4430,Janet Jackson,Black Cat,1990
4431,Glenn Medeiros & Bobby Brown,She Ain't Worth It,1990
4432,Roxette,Dangerous,1990
4433,Mariah Carey,Love Takes Time,1990
4434,Snap,Ooops Up,1990
4435,Taylor Dayne,Love Will Lead You Back,1990
4436,Prince,Thieves in the Temple,1990
4437,MC Hammer,Have You Seen Her,1990
4438,Billy Idol,Cradle of Love,1990
4439,Aerosmith,Janie's Got a Gun,1990
4440,Maria McKee,Show Me Heaven,1990
4441,Rod Stewart,Downtown Train,1990
4442,Beats International,Dub Be Good to Me,1990
4443,MC Hammer,Pray,1990
4444,Phil Collins,Something Happened On the Way to Heaven,1990
4445,The Pet Shop Boys,So Hard,1990
4446,Faith No More,Epic,1990
4447,The B52s,Roam,1990
4448,Bryan Adams,(Everything I Do) I Do it For You,1991
4449,Michael Jackson,Black Or White,1991
4450,REM,Losing My Religion,1991
4451,Roxette,Joyride,1991
4452,Enigma,Sadeness,1991
4453,Extreme,More Than Words,1991
4454,Right Said Fred,I'm Too Sexy,1991
4455,C&C Music Factory,Gonna Make You Sweat (Everybody Dance Now),1991
4456,The Scorpions,Wind of Change,1991
4457,Paula Abdul,Rush Rush,1991
4458,Color Me Badd,I Wanna Sex You Up,1991
4459,EMF,Unbelievable,1991
4460,Seal,Crazy,1991
4461,Amy Grant,Baby Baby,1991
4462,Crystal Waters,Gypsy Woman (La Da Dee),1991
4463,U2,The Fly,1991
4464,The Simpsons,Do the Bartman,1991
4465,Rod Stewart,Rhythm of My Heart,1991
4466,Bryan Adams,Can't Stop This Thing We Started,1991
4467,KLF,3am Eternal,1991
4468,Stevie B,Because I Love You (The Postman Song),1991
4469,Mariah Carey,Emotions,1991
4470,Guns n' Roses,Don't Cry,1991
4471,PM Dawn,Set Adrift On a Memory of Bliss,1991
4472,Whitney Houston,All the Man That I Need,1991
4473,Mariah Carey,Someday,1991
4474,Chris Isaak,Wicked Game,1991
4475,Marky Mark & The Funky Bunch,Good Vibrations,1991
4476,Metallica,Enter Sandman,1991
4477,Cher,The Shoop Shoop Song (It's in His Kiss),1991
4478,Prince,Cream,1991
4479,Guns n' Roses,You Could Be Mine,1991
4480,Gloria Estefan,Coming Out of the Dark,1991
4481,Janet Jackson,Love Will Never Do (Without You),1991
4482,Chesney Hawkes,The One & Only,1991
4483,Roxette,Fading Like a Flower (Every Time You Leave),1991
4484,Salt-N-Pepa,Let's Talk About Sex,1991
4485,Genesis,No Son of Mine,1991
4486,Heavy D & The Boyz,Now That We Found Love,1991
4487,REM,Shiny Happy People,1991
4488,Sting,All This Time,1991
4489,Timmy T,One More Try,1991
4490,Color Me Badd,All 4 Love,1991
4491,Michael Bolton,Love is a Wonderful Thing,1991
4492,Natalie Cole & Nat King Cole,Unforgettable,1991
4493,C&C Music Factory,Here We Go (Let's Rock & Roll),1991
4494,Lenny Kravitz,It Ain't Over 'till It's Over,1991
4495,Divinyls,I Touch Myself,1991
4496,Color Me Badd,I Adore Mi Amor,1991
4497,Whitney Houston,I Will Always Love You,1992
4498,Boyz II Men,End of the Road,1992
4499,Nirvana,Smells Like Teen Spirit,1992
4500,Eric Clapton,Tears in Heaven,1992
4501,Mr Big,To Be With You,1992
4502,Kris Kross,Jump,1992
4503,Snap,Rhythm is a Dancer,1992
4504,Red Hot Chili Peppers,Under the Bridge,1992
4505,George Michael & Elton John,Don't Let the Sun Go Down On Me,1992
4506,Madonna,This Used to Be My Playground,1992
4507,U2,One,1992
4508,Vanessa Williams,Save the Best For Last,1992
4509,Mariah Carey,I'll Be There,1992
4510,Charles & Eddie,Would I Lie to You?,1992
4511,Michael Jackson,Remember the Time,1992
4512,Inner Circle,Sweat (A La La La La Song),1992
4513,Billy Ray Cyrus,Achy Breaky Heart,1992
4514,Bobby Brown,Humpin' Around,1992
4515,Shakespear's Sister,Stay,1992
4516,Guns n' Roses,November Rain,1992
4517,Jon Secada,Just Another Day,1992
4518,U2,Mysterious Ways,1992
4519,KLF,Justified & Ancient,1992
4520,En Vogue,All My Lovin' (You're Never Gonna Get It),1992
4521,Patty Smyth & Don Henley,Sometimes Love Just Ain't Enough,1992
4522,Elton John,The One,1992
4523,Shanice,I Love Your Smile,1992
4524,Madonna,Erotica,1992
4525,Tasmin Archer,Sleeping Satellite,1992
4526,Ce Ce Peniston,Finally,1992
4527,Tom Cochrane,Life is a Highway,1992
4528,Def Leppard,Let's Get Rocked,1992
4529,Dr Alban,It's My Life,1992
4530,Bruce Springsteen,Human Touch,1992
4531,Richard Marx,Hazard,1992
4532,George Michael,Too Funky,1992
4533,Michael Jackson,Heal the World,1992
4534,Sir Mix-a-Lot,Baby Got Back,1992
4535,Roxette,How Do You Do!,1992
4536,Celine Dion & Peabo Bryson,Beauty & the Beast,1992
4537,Sophie B Hawkins,"Damn, I Wish I Was Your Lover",1992
4538,Luther Vandross & Janet Jackson,The Best Things in Life Are Free,1992
4539,Annie Lennox,Why?,1992
4540,Eric Clapton,Layla (Unplugged),1992
4541,REM,Drive,1992
4542,Wilson Phillips,You Won't See Me Cry,1992
4543,The Cure,"Friday, I'm in Love",1992
4544,Genesis,Hold On My Heart,1992
4545,Celine Dion,If You Asked Me To,1992
4546,UB40,Can't Help Falling in Love,1993
4547,Snow,Informer,1993
4548,Meat Loaf,I'd Do Anything For Love (But I Won't Do That),1993
4549,Ace of Base,All That She Wants,1993
4550,Janet Jackson,That's the Way Love Goes,1993
4551,Bryan Adams,Please Forgive Me,1993
4552,Four Non Blondes,What's Up?,1993
4553,Culture Beat,Mr Vain,1993
4554,Haddaway,What is Love?,1993
4555,Billy Joel,The River of Dreams,1993
4556,Mariah Carey,Dreamlover,1993
4557,Soul Asylum,Runaway Train,1993
4558,Duran Duran,Ordinary World,1993
4559,Mariah Carey,Hero,1993
4560,DJ Jazzy Jeff & The Fresh Prince,Boom! Shake the Room,1993
4561,2 Unlimited,No Limit,1993
4562,The Proclaimers,I'm Gonna Be (500 miles),1993
4563,The Pet Shop Boys,Go West,1993
4564,The Spin Doctors,Two Princes,1993
4565,Janet Jackson,Again,1993
4566,Regina Belle & Peabo Bryson,A Whole New World (Aladdin's Theme),1993
4567,Whitney Houston,I Have Nothing,1993
4568,Sting,If I Ever Lose My Faith in You,1993
4569,Aerosmith,Cryin',1993
4570,Freddie Mercury,Living On My Own,1993
4571,REM,Everybody Hurts,1993
4572,Shaggy,Oh Carolina,1993
4573,Rod Stewart,Have I Told You Lately,1993
4574,Ugly Kid Joe,Cat's in the Cradle,1993
4575,Whitney Houston,I'm Every Woman,1993
4576,Bon Jovi,Bed of Roses,1993
4577,Captain Hollywood Project,More & More,1993
4578,Tag Team,Whoomp! (There it Is),1993
4579,Robin S,Show Me Love,1993
4580,Janet Jackson,If,1993
4581,Tina Turner,I Don't Wanna Fight,1993
4582,Lenny Kravitz,Are You Gonna Go My Way?,1993
4583,Haddaway,Life,1993
4584,Silk,Freak Me,1993
4585,Aerosmith,Livin' On the Edge,1993
4586,US3,Cantaloop (Flip Fantasia),1993
4587,Depeche Mode,I Feel You,1993
4588,Gabrielle,Dreams,1993
4589,Radiohead,Creep,1993
4590,PM Dawn,Looking Through Patient Eyes,1993
4591,Michael Bolton,Said I Loved You But I Lied,1993
4592,Blind Melon,No Rain,1993
4593,Faith No More,Easy,1993
4594,Boyz II Men,In The Still Of The Nite (I'll Remember),1993
4595,Ace of Base,The Sign,1994
4596,All-4-One,I Swear,1994
4597,Bruce Springsteen,Streets of Philadelphia,1994
4598,"Bryan Adams, Rod Stewart & Sting",All For Love,1994
4599,Mariah Carey,Without You,1994
4600,Boyz II Men,I'll Make Love to You,1994
4601,Wet Wet Wet,Love is All Around,1994
4602,Bon Jovi,Always,1994
4603,Sheryl Crow,All I Wanna Do,1994
4604,Rednex,Cotton Eye Joe,1994
4605,Prince,The Most Beautiful Girl in the World,1994
4606,Crash Test Dummies,Mmm Mmm Mmm Mmm,1994
4607,Enigma,Return to Innocence,1994
4608,Elton John,Can You Feel the Love Tonight,1994
4609,Big Mountain,"Baby, I Love Your Way",1994
4610,Ace of Base,Don't Turn Around,1994
4611,Celine Dion,The Power of Love,1994
4612,MC Sar & The Real McCoy,Another Night,1994
4613,Youssou N'Dour & Neneh Cherry,7 Seconds,1994
4614,Madonna,I'll Remember,1994
4615,Lisa Loeb & Nine Stories,Stay (I Missed You),1994
4616,Madonna,Secret,1994
4617,Luther Vandross & Mariah Carey,Endless Love,1994
4618,The Cranberries,Zombie,1994
4619,Beck,Loser,1994
4620,Toni Braxton,Breathe Again,1994
4621,Boyz II Men,On Bended Knee,1994
4622,Counting Crows,Mr Jones,1994
4623,Warren G & Nate Dogg,Regulate,1994
4624,Whigfield,Saturday Night,1994
4625,Salt-N-Pepa & En Vogue,Whatta Man,1994
4626,Corona,Rhythm of the Night,1994
4627,East 17,Stay Another Day,1994
4628,Green Day,Basket Case,1994
4629,Erasure,Always,1994
4630,Metallica,One,1994
4631,Aerosmith,Amazing,1994
4632,Mariah Carey,Anytime You Need a Friend,1994
4633,Richard Marx,Now & Forever,1994
4634,East 17,It's Alright,1994
4635,Elton John,Circle of Life,1994
4636,John Cougar Mellencamp & Me'Shell Ndegeocello,One Wild Night,1994
4637,REM,"What's the Frequency, Kenneth?",1994
4638,Snoop Dogg,What's My Name?,1994
4639,Crystal Waters,100% Pure Love,1994
4640,Aaliyah,Back & Forth,1994
4641,The Pretenders,I'll Stand By You,1994
4642,REM,Bang & Blame,1994
4643,La Bouche,Sweet Dreams (Ola ola e),1994
4644,Coolio,Gangsta's Paradise,1995
4645,Take That,Back For Good,1995
4646,Bryan Adams,Have You Ever Really Loved a Woman?,1995
4647,Mariah Carey & Boyz II Men,One Sweet Day,1995
4648,TLC,Waterfalls,1995
4649,Mariah Carey,Fantasy,1995
4650,Michael Jackson,You Are Not Alone,1995
4651,Shaggy,Boombastic,1995
4652,Seal,Kiss From a Rose,1995
4653,Madonna,Take a Bow,1995
4654,Michael Jackson & Janet Jackson,Scream,1995
4655,Scatman John,Scatman (Ski-Ba-Bop-Ba-Dop-Bop),1995
4656,U2,"Hold Me, Thrill Me, Kiss Me, Kill Me",1995
4657,Ini Kamoze,Here Comes the Hotstepper,1995
4658,Diana King,Shy Guy,1995
4659,Whitney Houston,Exhale (Shoop Shoop),1995
4660,La Bouche,Be My Lover,1995
4661,TLC,Creep,1995
4662,The Rembrandts,I'll Be There For You,1995
4663,Mariah Carey,All I Want For Christmas is You,1995
4664,Annie Lennox,No More 'I Love Yous',1995
4665,Celine Dion,Think Twice,1995
4666,Simply Red,Fairground,1995
4667,Michael Jackson,Earth Song,1995
4668,Madonna,You'll See,1995
4669,Nicki French,Total Eclipse of the Heart,1995
4670,Bon Jovi,This Ain't a Love Song,1995
4671,Janet Jackson,Runaway,1995
4672,N-Trance & Ricardo Da Force,Stayin' Alive,1995
4673,Vanessa Williams,Colors of the Wind,1995
4674,Sheryl Crow,Strong Enough,1995
4675,MC Sar & The Real McCoy,Run Away,1995
4676,Elton John,Believe,1995
4677,Dionne Farris,I Know,1995
4678,Montell Jordan,This is How We Do It,1995
4679,The Outhere Brothers,Boom Boom Boom,1995
4680,Scatman John,Scatman's World,1995
4681,Blur,Country House,1995
4682,Alanis Morissette,You Oughta Know,1995
4683,The Beatles,Free As a Bird,1995
4684,Hootie & The Blowfish,Only Wanna Be With You,1995
4685,Des'ree,You Gotta Be,1995
4686,Boyz II Men,Water Runs Dry,1995
4687,TLC,Red Light Special,1995
4688,Meat Loaf,I'd Lie For You (And That's the Truth),1995
4689,Queen,Heaven For Everyone,1995
4690,Vangelis,Conquest of Paradise,1995
4691,Edwyn Collins,A Girl Like You,1995
4692,TLC,Diggin' On You,1995
4693,Spice Girls,Wannabe,1996
4694,Los Del Rio,Macarena,1996
4695,The Fugees,Killing Me Softly With His Song,1996
4696,Celine Dion,Because You Loved Me,1996
4697,Toni Braxton,Un-Break My Heart,1996
4698,Everything But The Girl,Missing,1996
4699,Oasis,Wonderwall,1996
4700,Robert Miles,Children,1996
4701,Alanis Morissette,Ironic,1996
4702,Joan Osborne,One of Us,1996
4703,Babylon Zoo,Spaceman,1996
4704,George Michael,Jesus to a Child,1996
4705,Eric Clapton,Change the World,1996
4706,Spice Girls,Say You'll Be There,1996
4707,OMC,How Bizarre,1996
4708,Donna Lewis,I Love You Always Forever,1996
4709,George Michael,Fast Love,1996
4710,2Pac & Dr Dre,California Love,1996
4711,No Mercy,Where Do You Go?,1996
4712,Fool's Garden,The Lemon Tree,1996
4713,Celine Dion,It's All Coming Back to Me Now,1996
4714,BLACKstreet & Dr Dre,No Diggity,1996
4715,Mariah Carey,Always Be My Baby,1996
4716,Deep Blue Something,Breakfast At Tiffany's,1996
4717,Mr President,Coco Jamboo,1996
4718,Metallica,Until it Sleeps,1996
4719,The Prodigy,Breathe,1996
4720,Oasis,Don't Look Back in Anger,1996
4721,Take That,How Deep is Your Love?,1996
4722,Michael Jackson,They Don't Care About Us,1996
4723,Bone Thugs-n-Harmony,Tha Crossroads,1996
4724,Toni Braxton,You're Makin' Me High,1996
4725,The Smashing Pumpkins,1979,1996
4726,Merril Bainbridge,Mouth,1996
4727,Tony Rich Project,Nobody Knows,1996
4728,Alanis Morissette,You Learn,1996
4729,Robert Miles,One & One,1996
4730,Mark Morrison,Return of the Mack,1996
4731,Tracy Chapman,Give Me One Reason,1996
4732,The Prodigy,Firestarter,1996
4733,Underworld,Born Slippy,1996
4734,Adam Clayton & Larry Mullen,Theme From 'Mission Impossible',1996
4735,Faithless,Insomnia,1996
4736,3T,Anything,1996
4737,Sheryl Crow,If it Makes You Happy,1996
4738,The Goo Goo Dolls,Name,1996
4739,Bryan Adams,The Only Thing That Looks Good On Me is You,1996
4740,Gina G,Ooh Aah... Just a Little Bit,1996
4741,Jamiroquai,Virtual Insanity,1996
4742,Elton John,Candle in the Wind '97,1997
4743,P Diddy & Faith Evans,I'll Be Missing You,1997
4744,Hanson,Mmmbop,1997
4745,No Doubt,Don't Speak,1997
4746,Aqua,Barbie Girl,1997
4747,R Kelly,I Believe I Can Fly,1997
4748,Will Smith,Men in Black,1997
4749,Chumbawamba,Tubthumping,1997
4750,Elton John,Something About the Way You look Tonight,1997
4751,U2,Discotheque,1997
4752,Spice Girls,2 Become 1,1997
4753,The Backstreet Boys,Quit Playing Games (With My Heart),1997
4754,The Verve,Bitter Sweet Symphony,1997
4755,Mariah Carey,Honey,1997
4756,The Backstreet Boys,As Long As You Love Me,1997
4757,The Cardigans,Lovefool,1997
4758,Jewel,You Were Meant for Me,1997
4759,The Backstreet Boys,Everybody (Backstreet's Back),1997
4760,Meredith Brooks,Bitch,1997
4761,Savage Garden,I Want You,1997
4762,Madonna,Don't Cry For Me Argentina,1997
4763,White Town,Your Woman,1997
4764,Michael Jackson,Blood on the Dance Floor,1997
4765,Spice Girls,Spice Up Your Life,1997
4766,Usher,You make Me Wanna,1997
4767,En Vogue,Don't Let Go (Love),1997
4768,Ricky Martin,(Un Dos Tres) Maria,1997
4769,Oasis,D'You Know What I Mean?,1997
4770,Third Eye Blind,Semi-Charmed Life,1997
4771,Notorious BIG & P Diddy,Mo Money Mo Problems,1997
4772,Coolio & 40 Thevz,C U When U Get There,1997
4773,Barbra Streisand & Bryan Adams,I Finally Found Someone,1997
4774,Sarah Brightman & Andrea Bocelli,Time to Say Goodbye (Con Te Partiro),1997
4775,Jewel,Foolish Games,1997
4776,Celine Dion,All By Myself,1997
4777,U2,Staring At the Sun,1997
4778,Hanson,I Will Come to You,1997
4779,Sheryl Crow,Everyday is a Winding Road,1997
4780,Boyz II Men,4 Seasons of Loneliness,1997
4781,Az Yet,Hard to Say I'm Sorry,1997
4782,Blur,Song 2,1997
4783,Spice Girls,Mama,1997
4784,Savage Garden,To the Moon & Back,1997
4785,Paula Cole,Where Have All the Cowboys Gone?,1997
4786,Robyn,Show Me Love,1997
4787,Notorious BIG,Hypnotize,1997
4788,P Diddy & Mase,Can't Nobody Hold Me Down,1997
4789,The Rolling Stones,Anybody Seen My Baby,1997
4790,Monica,For You I Will,1997
4791,Celine Dion,My Heart Will Go On,1998
4792,Cher,Believe,1998
4793,Aerosmith,I Don't Want to Miss a Thing,1998
4794,Brandy & Monica,The Boy is Mine,1998
4795,Savage Garden,Truly Madly Deeply,1998
4796,Madonna,Frozen,1998
4797,Natalie Imbruglia,Torn,1998
4798,The Goo Goo Dolls,Iris,1998
4799,Janet Jackson,Together Again,1998
4800,All Saints,Never Ever,1998
4801,Shania Twain,You're Still the One,1998
4802,Jennifer Paige,Crush,1998
4803,LeAnn Rimes,How Do I Live?,1998
4804,Lauryn Hill,Doo Wop (That Thing),1998
