,Artist,Song,Year
386,Nat Wills,"No News, Or What Killed the Dog",1908
387,Edward Meeker,Take Me Out To The Ball Game,1908
388,Emilio DeGogorza,O Sole Mio,1908
389,Harvey Hindermyer,Take Me Out To The Ball Game,1908
390,George M Cohan,The Small Town Gal,1908
391,Ada Jones & Billy Murray,Cuddle Up a Little Closer,1908
392,Ada Jones & Billy Murray,Wouldn't You Like to Have Me for a Sweetheart?,1908
393,Alan Turner,As Long as the World Rolls On,1908
394,Ada Jones & Billy Murray,When We Are M-A-Double-R-I-E-D,1908
395,Haydn Quartet,Sunbonnet Sue,1908
396,Billy Murray,Under Any Old Flag at All,1908
397,Grace Cameron,Adam & Eve,1908
398,Mario Pinheiro,Os Namorados da Lua,1908
399,Enrico Caruso & Geraldine Farrar,Madama Butterfly - Finale Act I: O Quantiocchi Fisi (O Kindly Heavens),1908
400,Maude Raymond,The Dusky Salome,1908
401,Enrico Caruso,Rigoletto - La Donna E' Mobile (Woman is Fickle),1908
402,Enrico Caruso & Louise Homer,Il Trovatore - Ai Nostri Monti (Home to Our Mountains),1908
403,Will Oakland,"When You & I Were Young, Maggie",1908
404,Frank Stanley,Any Old Port in a Storm,1908
405,Frank Stanley & Henry Burr,She's the Fairest Little Flower Old Dixie Ever Grew,1908
406,Haydn Quartet,Keep On Smiling,1908
407,Ada Jones & Billy Murray,Smarty,1908
408,Harry MacDonough & John Bieling,Over the Hills & Far Away,1908
409,Reinald Werrenrath,As Long as the World Rolls On,1908
410,Ada Jones & Billy Murray,I've Taken Quite a Fancy to You,1908
411,Jack Norworth,Take Me Out To The Ball Game,1908
412,Arthur Collins & Byron G Harlan,My Gal Irene,1908
413,Mario Pinheiro,O Que Tu es,1908
414,Maude Raymond,Goodbye Molly Brown,1908
415,Billy Murray,I'm Afraid to Come Home in the Dark,1908
416,Byron G Harlan,There Never was a Girl Like You,1908
417,Harry MacDonough & Elise Stevenson,I Love You So,1908
418,Harry MacDonough & Elise Stevenson,Kiss Duet (Sweetest Maid of All),1908
419,Henry Burr,You Have Always Been the Same Old Pal,1908
420,Ada Jones & Billy Murray,There's No Moon Like the Honeymoon,1908
