,Numbers,Author,Title,Lyrics,Sentiment score,Sentiment magnitude
71,71,jordin sparks,no air,"Tell me how I'm supposed to breathe with no air?
If I should die before I wake
It's cause you took my breath away
Losing you is like living in a world with no air, oh 

Chris Brown
I'm here alone, didn't wanna leave
My heart won't move, It's incomplete
If there was a way that I could make you understand

But how do you expect me to live alone with just me?
Cause my world revolves around you, it's so hard for me to breathe

Tell me how I'm supposed to breathe with no air?
Can't live, can't breathe with no air
It's how I feel whenever you ain't there
There's no air, no air

Got me out here in the water so deep
Tell me how you gonna breathe without me?
If you ain't here I just can't breathe
There's no air, no air

No air, air
No air, air
No air, air
No air, air

Chris Brown
I walked, I ran, I jumped, I flew
Right off the ground To float to you
With no gravity to hold me down for real

But somehow I'm still alive inside
You took my breath but I survived
I don't know how but I don't even care

So how do you expect me to live alone with just me?
Cause my world revolves around you, it's so hard for me to breathe

Tell me how I'm supposed to breathe with no air?
Can't live, can't breathe with no air
That's how I feel whenever you ain't there
There's no air, no air

Got me out here in the water, so deep
Tell me how you gonna breathe without me?
If you ain't here I just can't breathe
There's no air, no air

No air, air
No air, air
No air, air
No air, air

No more
Baby
There's no air, no air
No air, oh!

Tell me how I'm supposed to breathe with no air?
I can't live, I can't breathe with no air
That's how I feel whenever you ain't there
There's no air, no air

Got me out here in the water, so deep
Tell me how you gonna breathe without me?
If you ain't here I just can't breathe
There's no air, no air

Tell me how I'm supposed to breathe with no air?
I can't live, I can't breathe with no air
That's how I feel whenever you ain't there
There's no air, no air

Got me out here in the water, so deep
Tell me how you gonna breathe without me?
If you ain't here I just can't breathe
There's no air, no air

No air, air
No air, air
No air, air
No air",-0.20000000298023224,10.100000381469727
72,72,juice wrld,lucid dreams,"Nick Mira on the mix
No, no, no, no
No no no, no, no
No, no, no, no, no (no)
No, no, no

I still see your shadows in my room
Can't take back the love that I gave you
It's to the point where I love and I hate you
And I cannot change you, so I must replace you, oh
Easier said than done
I thought you were the one
Listenin' to my heart instead of my head
You found another one
But I am the better one
I won't let you forget me
I still see your shadows in my room
Can't take back the love that I gave you
It's to the point where I love and I hate you
And I cannot change you, so I must replace you, oh
Easier said than done
I thought you were the one
Listenin' to my heart instead of my head
You found another one
But I am the better one
I won't let you forget me

You left me falling and landing inside my grave
I know that you want me dead
I take prescriptions to make me feel a-okay
I know it's all in my head
I have these lucid dreams where I can't move a thing
Thinking of you in my bed
You were my everything
Thoughts of a wedding ring
Now I'm just better off dead
I'll do it over again
I didn't want it to end
I watch it blow in the wind
I should've listened to my friends
Did this shit in the past
But I want it to last
You were made outta plastic, fake
I was tangled up in your drastic ways
Who knew evil girls had the prettiest face?
You gave me a heart that was full of mistakes
I gave you my heart and you made heart break

You made my heart break
You made my heart ache (I still see your shadows in my room)
You made my heart break
You made my heart ache (can't take back the love that I gave you)
You made my heart break (were made outta plastic, fake)
You made my heart ache (I still see your shadows in my room)
You made my heart break again (I was tangled up your drastic ways)
Who knew evil girls had the prettiest face?

I still see your shadows in my room
Can't take back the love that I gave you
It's to the point where I love and I hate you
And I cannot change you, so I must replace you, oh
Easier said than done
I thought you were the one
Listenin' to my heart instead of my head
You found another one
But I am the better one
I won't let you forget me
I still see your shadows in my room
Can't take back the love that I gave you
It's to the point where I love and I hate you
And I cannot change you, so I must replace you, oh
Easier said than done
I thought you were the one
Listenin' to my heart instead of my head
You found another one
But I am the better one
I won't let you forget me

Did this shit in the past but I want it to last
You were made outta plastic, fake
I was tangled up in your drastic ways
Who knew evil girls had the prettiest face?
Easier said than done
I thought you were...
...Instead of my head
You found another...
...Better one
I won't let you forget me",0.0,4.800000190734863
73,73,justin timberlake,mirrors,"Aren't you somethin' to admire
Cause your shine is somethin' like a mirror
And I can't help but notice
You reflect in this heart of mine
If you ever feel alone and
The glare makes me hard to find
Just know that I'm always
Parallel on the other side

Cause with your hand in my hand and a pocket full of soul
I can tell you there's no place we couldn't go
Just put your hand on the glass
I'm here tryin' to pull you through
You just gotta be strong

Cause I don't wanna lose you now
I'm lookin' right at the other half of me
The vacancy that sat in my heart
Is a space that now you hold
Show me how to fight for now
And I'll tell you, baby, it was easy
Comin' back here to you once I figured it out
You were right here all along
It's like you're my mirror
My mirror staring back at me
I couldn't get any bigger
With anyone else beside me
And now it's clear as this promise
That we're making
Two reflections into one
Cause it's like you're my mirror
My mirror staring back at me, staring back at me

Aren't you somethin', an original
Cause it doesn't seem really as sample
And I can't help but stare, cause
I see truth somewhere in your eyes
I can't ever change without you
You reflect me, I love that about you
And if I could, I
Would look at us all the time

Cause with your hand in my hand and a pocket full of soul
I can tell you there's no place we couldn't go
Just put your hand on the glass
I'm here tryin' to pull you through
You just gotta be strong

Cause I don't wanna lose you now
I'm lookin' right at the other half of me
The vacancy that sat in my heart
Is a space that now you hold
Show me how to fight for now
And I'll tell you, baby, it was easy
Comin' back here to you once I figured it out
You were right here all along
It's like you're my mirror
My mirror staring back at me
I couldn't get any bigger
With anyone else beside me
And now it's clear as this promise
That we're making
Two reflections into one
Cause it's like you're my mirror
My mirror staring back at me, staring back at me

Yesterday is history
Tomorrow's a mystery
I can see you lookin' back at me
Keep your eyes on me
Baby, keep your eyes on me

Cause I don't wanna lose you now
I'm lookin' right at the other half of me
The vacancy that sat in my heart
Is a space that now you hold
Show me how to fight for now
And I'll tell you, baby, it was easy
Comin' back here to you once I figured it out
You were right here all along
It's like you're my mirror
My mirror staring back at me
I couldn't get any bigger
With anyone else beside me
And now it's clear as this promise
That we're making
Two reflections into one
Cause it's like you're my mirror
My mirror staring back at me, staring back at me

You are, you are the love of my life

Baby, you're the inspiration of this precious song
And I just wanna see your face light up since you put me on
So now I say goodbye to the old me, it's already gone
And I can't wait wait wait wait wait to get you home
Just to let you know, you are

Girl you're my reflection, all I see is you
My reflection, in everything I do
You're my reflection and all I see is you
My reflection, in everything I do

You are, you are the love of my life",0.10000000149011612,4.599999904632568
74,74,kaleo,way down we go,"Father tell me, we get what we deserve
Oh, we get what we deserve

And way down we go go go go go
Oh, way down we go go go go go
Say way down we go
Way down we go

You let your feet run wild
Time has come as we all oh, go down
Yeah, but for the fall ooh, my
Do you dare to look him right in the eyes?

'Cause they will run you down, down till the dark
Yes and they will run you down, down till you fall
And they will run you down, down till you go
Yeah, so you can't crawl no more

And way down we go go go go go
Way down we go
Say way down we go, ooh
'Cause they will run you down, down till you call
Way down we go

Uh uh uh uh uh uh uh
Uh uh uh uh uh uh uh
Uh uh uh uh uh uh uh
Uh uh uh
Uh uh uh uh uh uh uh
Uh uh uh uh uh uh uh
Uh uh uh uh uh uh uh

Uh uh
Oh bab-bab-yeah
Wow baby-a-aha
Baby
Bab, down we go
Yeah
And way down we go-o-o-o-o
Way down we go
Say way down we go
Way down we go",-0.20000000298023224,2.0
75,75,katy perry,the one that got away,"Summer after high school when we first met
We'd make out in your Mustang to Radiohead
And on my 18th birthday we got matching tattoos

Used to steal your parents' liquor and climb to the roof
Talk about our future like we had a clue
Never plan that one day I'd be losing you

In another life I would be your girl
We'd keep all our promises, be us against the world
In another life I would make you stay
So I don't have to say you were the one that got away, the one that got away

I was June and you were my Johnny Cash
Never one, without the other, we made a pact
Sometimes when I miss you, I put those records on, whoa

Someone said you had your tattoo removed
Saw you downtown singing the blues
It's time to face the music, I'm no longer your muse

But in another life I would be your girl
We'd keep all our promises, be us against the world
In another life, I would make you stay
So I don't have to say you were the one that got away, the one that got away

The one, the one, the one
The one that got away

All this money can't buy me a time machine, no
Can't replace you with a million rings, no
I should've told you what you meant to me, whoa
'Cause now I pay the price

In another life I would be your girl
We'd keep all our promises, be us against the world
In another life, I would make you stay
So I don't have to say you were the one that got away, the one that got away

The one (the one)
The one (the one)
The one (the one)

In another life I would make you stay
So I don't have to say you were the one that got away
The one that got away",0.20000000298023224,6.199999809265137
76,76,keane,somewhere only we know,"I walked across an empty land
I knew the pathway like the back of my hand
I felt the earth beneath my feet
Sat by the river and it made me complete

Oh simple thing where have you gone?
I'm getting old and I need something to rely on
So tell me when you're gonna let me in
I'm getting tired and I need somewhere to begin

I came across a fallen tree
I felt the branches of it looking at me
Is this the place we used to love?
Is this the place that I've been dreaming of?

Oh simple thing where have you gone?
I'm getting old and I need something to rely on
So tell me when you're gonna let me in
I'm getting tired and I need somewhere to begin

And if you have a minute why don't we go
Talk about it somewhere only we know?
This could be the end of everything
So why don't we go
Somewhere only we know?
Somewhere only we know?

Oh simple thing where have you gone?
I'm getting old and I need something to rely on
So tell me when you're gonna let me in
I'm getting tired and I need somewhere to begin

And if you have a minute why don't we go
Talk about it somewhere only we know?
This could be the end of everything
So why don't we go
So why don't we go

This could be the end of everything
So why don't we go
Somewhere only we know?
Somewhere only we know?
Somewhere only we know?",-0.20000000298023224,5.599999904632568
77,77,kelly clarkson,because of you,"Ooh
Ooh

I will not make the same mistakes that you did
I will not let myself cause my heart so much misery
I will not break the way you did, you fell so hard
I've learned the hard way to never let it get that far

Because of you 
I never stray too far from the sidewalk
Because of you
I learned to play on the safe side so I don't get hurt

Because of you
I find it hard to trust not only me, but everyone around me
Because of you
I am afraid

I lose my way and it's not too long before you point it out
I cannot cry because I know that's weakness in your eyes
I'm forced to fake a smile, a laugh, every day of my life
My heart can't possibly break when it wasn't even whole to start with

Because of you
I never stray too far from the sidewalk
Because of you
I learned to play on the safe side so I don't get hurt

Because of you
I find it hard to trust not only me, but everyone around me
Because of you
I am afraid

I watched you die, I heard you cry every night in your sleep
I was so young, you should have known better than to lean on me
You never thought of anyone else, you just saw your pain
And now I cry in the middle of the night for the same damn thing

Because of you
I never stray too far from the sidewalk
Because of you
I learned to play on the safe side so I don't get hurt

Because of you
I tried my hardest just to forget everything
Because of you
I don't know how to let anyone else in

Because of you
I'm ashamed of my life because it's empty
Because of you
I am afraid

Because of you
Because of you",0.0,6.099999904632568
78,78,kodaline,all I want,"All I want is nothing more
To hear you knocking at my door
'Cause if I could see your face once more
I could die a happy man I'm sure

When you said your last goodbye
I died a little bit inside
I lay in tears in bed all night
Alone without you by my side

But If you loved me
Why'd you leave me?
Take my body
Take my body
All I want is
And all I need is
To find somebody
I'll find somebody like you

Ooh oh

So you brought out the best of me
A part of me I'd never seen
You took my soul and wiped it clean
Our love was made for movie screens

But If you loved me
Why'd you leave me?
Take my body
Take my body
All I want is
And all I need is
To find somebody
I'll find somebody

Ooh

If you loved me
Why'd you leave me?
Take my body
Take my body
All I want is
All I need is
To find somebody
I'll find somebody like you

Ooh",0.10000000149011612,2.799999952316284
79,79,labrinth,jealous,"I'm jealous of the rain
That falls upon your skin
It's closer than my hands have been
I'm jealous of the rain

I'm jealous of the wind
That ripples through your clothes
It's closer than your shadow
I'm jealous of the wind

So I wished you the best of all this world could give
And I told you when you left me there's nothing to forgive
But I always thought you'd come back
Tell me all you found was heartbreak and misery
It's hard for me to say
I'm jealous of the way you're happy without me

I'm jealous of the nights
That I don't spend with you
I'm wondering who you lay next to
Oh I'm jealous of the nights

I'm jealous of the love,
Love that was in here
Gone for someone else to share
Oh I'm jealous of the love

So I wished you the best of all this world could give
And I told you when you left me there's nothing to forgive
But I always thought you'd come back
Tell me all you found was heartbreak and misery
It's hard for me to say
I'm jealous of the way you're happy without me

As I sink in the sand
Watch you slip through my hands
Oh, as I die here another day
'Cause all I do is cry behind the smile

I wished you the best of all this world could give
And I told you when you left me there's nothing to forgive
But I always thought you'd come back
Tell me all you found was heartbreak and misery
It's hard for me to say
I'm jealous of the way you're happy without me
It's hard for me to say
I'm jealous of the way you're happy without me",0.5,4.199999809265137
80,80,lady antebellum,need you now,"Picture perfect memories scattered all around the floor
Reachin' for the phone, 'cause I can't fight it any more
And I wonder if I ever cross your mind
For me, it happens all the time

It's a quarter after one, I'm all alone and I need you now
Said I wouldn't call, but I've lost all control and I need you now
And I don't know how I can do without, I just need you now

Another shot o' whiskey, can't stop lookin' at the door
Wishing you'd come sweepin' in the way you did before
And I wonder if I ever cross your mind
For me, it happens all the time

It's a quarter after one, I'm a little drunk and I need you now
Said I wouldn't call, but I've lost all control and I need you now 
And I don't know how I can do without; I just need you now

Whoa-oh-whoa
Guess I'd rather hurt than feel nothin' at all

It's a quarter after one, I'm all alone and I need you now
And I said I wouldn't call, but I'm a little drunk and I need you now
And I don't know how I can do without, I just need you now
I just need you now

Oh, baby, I need you now",-0.10000000149011612,3.9000000953674316
